gene,logFC,logCPM,F,PValue,FDR,Significant,direction
USP49,-0.19371928773355718,4.188614657585646,7.387071324905763,0.010235321406997469,0.016376095157269982,TRUE,Not significant
OSTC,-0.12012416871727144,6.078974940221699,7.3861342509286105,0.010239683369439926,0.016381397243024162,TRUE,Not significant
ATP1B3,-0.0844254898835252,8.89148505427621,7.38501092036606,0.01024492431205629,0.016388104287937754,TRUE,Not significant
PPP1R9B,-0.12003917576994518,6.918236365390716,7.381621652155252,0.010260755537545149,0.016411748777305637,TRUE,Not significant
CCDC152,0.20075425755236748,4.278540811037624,7.381010909499698,0.010263615284466532,0.016414643087712257,TRUE,Not significant
LMBR1L,-0.26758980649510633,3.313648340045632,7.380111493203767,0.010267838483049784,0.016419717156749346,TRUE,Not significant
CYB5D2,0.17704233704975045,4.75193298701857,7.378013836005252,0.01027763818321342,0.016433706885281407,TRUE,Not significant
GRTP1,0.6364857113767357,0.6016170999845672,7.376536534371959,0.01028515926906349,0.016444050672612762,TRUE,Not significant
H3C2,1.3086040890684618,-0.7366259842963625,7.372132372052131,0.010290825912555103,0.01645142773992393,TRUE,Up-regulated
PAPOLA-DT,-1.1136423388299082,-0.7067722448387835,7.37749172793395,0.010294363239751582,0.016455399615188916,TRUE,Down-regulated
MATN3,-0.5609539778615387,1.2350783734219555,7.374102631644394,0.010296239026945368,0.01645671500062952,TRUE,Not significant
JOSD2,0.22869543015887472,3.9499080177043155,7.373160075156626,0.010300402815387908,0.016461686708027917,TRUE,Not significant
DEAF1,-0.19557071555720423,4.062821949579597,7.370387244738599,0.010313426876719751,0.016480816080475382,TRUE,Not significant
RTCA-AS1,0.9384018893111113,-0.36000121424164444,7.366965406275506,0.010334062369015937,0.016512103335485494,TRUE,Not significant
ANKFY1,-0.09279349960438063,7.317415204195521,7.359910343943392,0.010362795752182281,0.016556321946908824,TRUE,Not significant
THAP6,0.16807354141121073,4.839587796463486,7.355266346932064,0.010384765110923875,0.0165897259488696,TRUE,Not significant
SNRPA1-DT,0.47495799297694696,1.4233957292684014,7.350831599695087,0.010405954985291574,0.01662187801942844,TRUE,Not significant
ANKRD42-DT,0.586285307038207,0.8673230342559343,7.349975800297182,0.01041026481033839,0.01662706304778143,TRUE,Not significant
LOC101929937,-0.4563108702199743,1.523477520578039,7.339162185890837,0.010461511969048558,0.016707206710557778,TRUE,Not significant
ZNF562,0.11184223467049417,6.237863525633197,7.332011539427964,0.010495525430459465,0.016759814311205705,TRUE,Not significant
ARMC10,-0.20026654541559968,4.111598564301846,7.33167295542402,0.010497155744643728,0.01676070531093896,TRUE,Not significant
SIRPB1,0.3190293741991433,2.61371011010708,7.329791550515665,0.010506195495351232,0.016773425494621016,TRUE,Not significant
LOC124901275,0.6111051234643713,0.8016743923868481,7.32885739668205,0.010511108800416594,0.016779555770657886,TRUE,Not significant
BCO2,0.5527498186078715,0.9817334107451526,7.325817051680623,0.010525648794801062,0.01680105092552498,TRUE,Not significant
CD151,-0.10483200849180588,7.087289010807152,7.32285836169442,0.010539470174025527,0.01682139475339722,TRUE,Not significant
TCF25,-0.10516276742154647,6.985929046939108,7.319512401469886,0.010555583796597183,0.016845392560834588,TRUE,Not significant
RASSF6,0.5951003229756714,1.0144722629141918,7.317233564352526,0.010566925987402805,0.016861771636866345,TRUE,Not significant
TLR6,-0.3660950396965189,2.5489184076760427,7.315075451229048,0.010577025861597282,0.016876165191584885,TRUE,Not significant
SMC5-DT,0.603176154914941,0.6590840495385599,7.311354808276288,0.01059568200932297,0.01690377028661382,TRUE,Not significant
MYDGF,-0.11086390304536567,6.410553620649186,7.311042965562541,0.010596490164314921,0.01690377028661382,TRUE,Not significant
ZNF814,0.1674050733375444,4.98287401206695,7.308580835776286,0.010608415063650555,0.01692106617459518,TRUE,Not significant
LOC105376286,0.7948668274717854,0.29954668647177896,7.308174292033584,0.01061145509811684,0.016924188079955736,TRUE,Not significant
